ID,treatment,salinity,plant_part,initial_weight,d5_weight,final_weight
ct174,1,28 ppt,under,0.4432,0.4716,0.4871
ct175,2,35 ppt,under,0.3765,0.3705,0.3685
ct176,2,28 ppt,under,0.3544,0.3772,0.3681
ct177,3,35 ppt,under,0.4897,0.5217,0.5356
ct178,3,28 ppt,under,0.4533,0.4735,0.4713
ct179,4,35 ppt,under,0.3754,0.3941,0.3737
ct180,4,28 ppt,under,0.4129,0.4539,0.4472
ct181,1,35 ppt,under,0.4225,0.4723,0.5199
ct182,1,28 ppt,under,0.4296,0.4155,0.3818
ct183,2,35 ppt,under,0.4305,0.4299,0.4559
ct184,2,28 ppt,under,0.4165,0.4366,0.4161
ct185,3,35 ppt,under,0.4165,0.4471,0.4533
ct186,3,28 ppt,under,0.3891,0.4503,0.4732
ct187,4,35 ppt,under,0.4159,0.4219,0.4398
ct188,4,28 ppt,under,0.4705,0.5272,0.4928
ct189,1,35 ppt,under,0.4299,0.4774,0.5203
ct190,1,28 ppt,under,0.3277,0.3161,0.2991
ct191,2,35 ppt,under,0.4503,0.4512,0.4498
ct192,2,28 ppt,under,0.4278,0.4349,0.3941
ct193,3,35 ppt,under,0.3932,0.4051,0.3817
ct194,3,28 ppt,under,0.4295,0.4128,0.2899
ct195,4,35 ppt,under,0.4319,0.4612,0.4599
ct196,4,28 ppt,under,0.3652,0.3759,0.3285
ct201,1,35 ppt,canopy,0.4402,0.4318,0.4432
ct202,1,28 ppt,canopy,0.4934,0.5522,0.5224
ct203,2,35 ppt,canopy,0.5289,0.4987,0.4615
ct204,2,28 ppt,canopy,0.4308,0.4705,0.4871
ct205,3,35 ppt,canopy,0.5404,0.5797,0.6028
ct206,3,28 ppt,canopy,0.5371,0.5195,0.4609
ct207,4,35 ppt,canopy,0.4661,0.4681,0.4724
ct208,4,28 ppt,canopy,0.3899,0.4681,0.3924
ct209,1,35 ppt,canopy,0.4736,0.5002,0.4604
ct210,1,28 ppt,canopy,0.5058,0.6656,0.5779
ct211,2,35 ppt,canopy,0.5223,0.6419,0.6269
ct212,2,28 ppt,canopy,0.3672,0.3881,0.3683
ct213,3,35 ppt,canopy,0.529,0.6253,0.6467
ct214,3,28 ppt,canopy,0.4378,0.4599,0.4417
ct215,4,35 ppt,canopy,0.5282,0.6086,0.6157
