date,specimen_id,id,i_weight,f_weight,growth_d9,treatment,plant_id,run
03/31/23,ul132,u532,0.2963,0.5429,83.226,4,56,2
03/31/23,hm133,h533,0.3027,0.4172,37.826,1,30,2
03/31/23,hm134,h534,0.3002,0.4313,43.671,2,30,2
03/31/23,hm135,h535,0.293,0.418,42.662,3,30,2
03/31/23,hm136,h536,0.2827,0.3895,37.779,4,30,2
03/31/23,ul133,u533,0.2721,0.2685,-1.323,1,57,2
03/31/23,ul134,u534,0.2886,0.4367,51.317,2,57,2
03/31/23,ul135,u535,0.3028,0.4541,49.967,3,57,2
03/31/23,ul136,u536,0.2902,0.4661,60.613,4,57,2
03/31/23,hm137,h537,0.2974,0.4323,45.360,1,31,2
03/31/23,hm138,h538,0.3031,0.446,47.146,2,31,2
03/31/23,hm139,h539,0.2959,0.4416,49.240,3,31,2
03/31/23,hm140,h540,0.2984,0.4156,39.276,4,31,2
03/31/23,ul137,u537,0.2614,0.1543,-40.972,1,58,2
03/31/23,ul138,u538,0.2863,0.3546,23.856,2,58,2
03/31/23,ul139,u539,0.2863,0.3691,28.921,3,58,2
03/31/23,ul140,u540,0.2443,0.4191,71.551,4,58,2
03/31/23,hm141,h541,0.3016,0.4033,33.720,1,32,2
03/31/23,hm142,h542,0.2998,0.418,39.426,2,32,2
03/31/23,hm143,h543,0.2813,0.4089,45.361,3,32,2
03/31/23,hm144,h544,0.2991,0.4197,40.321,4,32,2
03/31/23,ul141,u541,0.2528,0.2314,-8.465,1,59,2
03/31/23,ul142,u542,0.2943,0.4099,39.280,2,59,2
03/31/23,ul143,u543,0.283,0.3762,32.933,3,59,2
03/31/23,ul144,u544,0.2966,0.5357,80.614,4,59,2
03/31/23,hm145,h545,0.2978,0.3741,25.621,1,33,2
03/31/23,hm146,h546,0.3031,0.4753,56.813,2,33,2
03/31/23,hm147,h547,0.2973,0.4202,41.339,3,33,2
03/31/23,hm148,h548,0.3012,0.4322,43.493,4,33,2
03/31/23,ul145,u545,0.2571,0.2944,14.508,1,60,2
03/31/23,ul146,u546,0.2872,0.5522,92.270,2,60,2
03/31/23,ul147,u547,0.276,0.5554,101.232,3,60,2
03/31/23,ul148,u548,0.2977,0.6111,105.274,4,60,2
04/11/23,hm201,h601,0.2882,0.465,61.346,1,34,3
04/11/23,hm202,h602,0.2989,0.4407,47.441,2,34,3
04/11/23,hm203,h603,0.2837,0.4019,41.664,3,34,3
04/11/23,hm204,h604,0.2784,0.3792,36.207,4,34,3
04/11/23,ul201,u601,0.2974,0.2885,-2.993,1,61,3
04/11/23,ul202,u602,0.2906,0.4049,39.332,2,61,3
04/11/23,ul203,u603,0.268,0.4691,75.037,3,61,3
04/11/23,ul204,u604,0.2716,0.5958,119.367,4,61,3
04/11/23,hm205,h605,0.2938,0.4713,60.415,1,35,3
04/11/23,hm206,h606,0.2963,0.4938,66.655,2,35,3
04/11/23,hm207,h607,0.2978,0.4512,51.511,3,35,3
04/11/23,hm208,h608,0.2857,0.3952,38.327,4,35,3
04/11/23,ul205,u605,0.3026,0.4037,33.410,1,62,3
04/11/23,ul206,u606,0.275,0.9414,242.327,2,62,3
04/11/23,ul207,u607,0.2797,0.7146,155.488,3,62,3
04/11/23,ul208,u608,0.2945,0.7102,141.154,4,62,3
04/11/23,hm209,h609,0.2931,0.4118,40.498,1,36,3
04/11/23,hm210,h610,0.2899,0.5517,90.307,2,36,3
04/11/23,hm211,h611,0.2992,0.4958,65.709,3,36,3
04/11/23,hm212,h612,0.2914,0.4515,54.942,4,36,3
04/11/23,ul209,u609,0.292,0.339,16.096,1,63,3
04/11/23,ul210,u610,0.2783,0.7179,157.959,2,63,3
04/11/23,ul211,u611,0.2899,0.7269,150.742,3,63,3
04/11/23,ul212,u612,0.2794,0.5574,99.499,4,63,3
04/11/23,hm213,h613,0.2989,0.4327,44.764,1,37,3
04/11/23,hm214,h614,0.2956,0.4218,42.693,2,37,3
04/11/23,hm215,h615,0.2984,0.4472,49.866,3,37,3
04/11/23,hm216,h616,0.2964,0.3966,33.806,4,37,3
04/11/23,ul213,u613,0.301,0.3531,17.309,1,64,3
04/11/23,ul214,u614,0.2986,0.8239,175.921,2,64,3
04/11/23,ul215,u615,0.293,0.7173,144.812,3,64,3
04/11/23,ul216,u616,0.2903,0.6232,114.674,4,64,3
04/11/23,hm217,h617,0.3011,0.4877,61.973,1,38,3
04/11/23,hm218,h618,0.2763,0.4474,61.925,2,38,3
04/11/23,hm219,h619,0.2949,0.4561,54.663,3,38,3
04/11/23,hm220,h620,0.2475,0.2956,19.434,4,38,3
04/11/23,ul217,u617,0.2962,0.3647,23.126,1,65,3
04/11/23,ul218,u618,0.2571,0.6929,169.506,2,65,3
04/11/23,ul219,u619,0.2892,0.7643,164.281,3,65,3
04/11/23,ul220,u620,0.249,0.5248,110.763,4,65,3
04/11/23,hm221,h621,0.2705,0.4131,52.717,1,39,3
04/11/23,hm222,h622,0.2993,0.51,70.398,2,39,3
04/11/23,hm223,h623,0.2821,0.4152,47.182,3,39,3
04/11/23,hm224,h624,0.2867,0.4087,42.553,4,39,3
04/11/23,ul221,u621,0.2985,0.3342,11.960,1,66,3
04/11/23,ul222,u622,0.2962,0.5575,88.217,2,66,3
04/11/23,ul223,u623,0.2568,0.508,97.819,3,66,3
04/11/23,ul224,u624,0.2969,0.6046,103.638,4,66,3
04/14/23,hm225,h625,0.2705,0.3974,46.913,1,40,3
04/14/23,hm226,h626,0.2987,0.5616,88.015,2,40,3
04/14/23,hm227,h627,0.2988,0.4791,60.341,3,40,3
04/14/23,hm228,h628,0.2963,0.3943,33.075,4,40,3
04/14/23,ul225,u625,0.2986,0.3147,5.392,1,67,3
04/14/23,ul226,u626,0.2966,0.5142,73.365,2,67,3
04/14/23,ul227,u627,0.2874,0.5549,93.076,3,67,3
04/14/23,ul228,u628,0.2821,0.5153,82.666,4,67,3
04/14/23,hm229,h629,0.2948,0.5072,72.049,1,41,3
04/14/23,hm230,h630,0.286,0.5701,99.336,2,41,3
04/14/23,hm231,h631,0.3011,0.4952,64.464,3,41,3
04/14/23,hm232,h632,0.2932,0.4458,52.046,4,41,3
04/14/23,ul229,u629,0.2943,0.3844,30.615,1,68,3
04/14/23,ul230,u630,0.2927,0.5892,101.298,2,68,3
04/14/23,ul231,u631,0.2793,0.526,88.328,3,68,3
04/14/23,ul232,u632,0.3016,0.6604,118.966,4,68,3
04/14/23,hm233,h633,0.3033,0.4633,52.753,1,42,3
04/14/23,hm234,h634,0.243,0.4563,87.778,2,42,3
04/14/23,hm235,h635,0.3012,0.4702,56.109,3,42,3
04/14/23,hm236,h636,0.3001,0.4487,49.517,4,42,3
04/14/23,ul233,u633,0.294,0.3524,19.864,1,69,3
04/14/23,ul234,u634,0.3027,0.746,146.449,2,69,3
04/14/23,ul235,u635,0.2755,0.6636,140.871,3,69,3
04/14/23,ul236,u636,0.2794,0.6984,149.964,4,69,3
04/14/23,hm237,h637,0.2955,0.4884,65.279,1,43,3
04/14/23,hm238,h638,0.2776,0.5815,109.474,2,43,3
04/14/23,hm239,h639,0.2435,0.3518,44.476,3,43,3
04/14/23,hm240,h640,0.2953,0.4563,54.521,4,43,3
04/14/23,ul237,u637,0.2815,0.3042,8.064,1,70,3
04/14/23,ul238,u638,0.2587,0.5658,118.709,2,70,3
04/14/23,ul239,u639,0.2958,0.6327,113.895,3,70,3
04/14/23,ul240,u640,0.2663,0.5786,117.274,4,70,3
04/14/23,hm241,h641,0.2967,0.4583,54.466,1,44,3
04/14/23,hm242,h642,0.2891,0.4999,72.916,2,44,3
04/14/23,hm243,h643,0.2671,0.4396,64.583,3,44,3
04/14/23,hm244,h644,0.2858,0.3975,39.083,4,44,3
04/14/23,ul241,u641,0.2813,0.3133,11.376,1,71,3
04/14/23,ul242,u642,0.247,0.7317,196.235,2,71,3
04/14/23,ul243,u643,0.2903,0.7402,154.978,3,71,3
04/14/23,ul244,u644,0.3007,0.6945,130.961,4,71,3
04/14/23,hm245,h645,0.2708,0.4044,49.335,1,45,3
04/14/23,hm246,h646,0.3013,0.4593,52.439,2,45,3
04/14/23,hm247,h647,0.2989,0.4763,59.351,3,45,3
04/14/23,hm248,h648,0.3008,0.4241,40.991,4,45,3
04/14/23,ul245,u645,0.2936,0.3709,26.328,1,72,3
04/14/23,ul246,u646,0.2969,0.9903,233.547,2,72,3
04/14/23,ul247,u647,0.2913,0.6528,124.099,3,72,3
04/14/23,ul248,u648,0.2931,0.6395,118.185,4,72,3
