Datetime,Date,Time,Type,no,F,FmPrime,PAR,YII,ETR,FvFm
09:16.8,6/17/25,11:09:16,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:18.2,6/17/25,11:09:18,FO,67,86,161,0,0.466,0,0.466
09:25.2,6/17/25,11:09:25,SLCE,,Light Curve end ,,,,,
09:50.5,6/17/25,11:09:50,SLCS,,Light Curve start ,7,,,,
09:50.5,6/17/25,11:09:50,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:50.5,6/17/25,11:09:50,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:51.9,6/17/25,11:09:51,FO,68,67,151,0,0.556,0,0.556
09:57.6,6/17/25,11:09:57,SLCE,,Light Curve end ,,,,,
10:03.3,6/17/25,11:10:03,SLCS,,Light Curve start ,7,,,,
10:03.3,6/17/25,11:10:03,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:03.3,6/17/25,11:10:03,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:04.7,6/17/25,11:10:04,FO,69,49,130,0,0.623,0,0.623
10:12.1,6/17/25,11:10:12,SLCE,,Light Curve end ,,,,,
10:44.7,6/17/25,11:10:44,SLCS,,Light Curve start ,7,,,,
10:44.7,6/17/25,11:10:44,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:44.7,6/17/25,11:10:44,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:46.1,6/17/25,11:10:46,FO,70,49,135,0,0.637,0,0.637
10:53.1,6/17/25,11:10:53,SLCE,,Light Curve end ,,,,,
11:19.1,6/17/25,11:11:19,SLCS,,Light Curve start ,8,,,,
11:19.1,6/17/25,11:11:19,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:19.1,6/17/25,11:11:19,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:20.5,6/17/25,11:11:20,FO,71,70,170,0,0.588,0,0.588
11:26.5,6/17/25,11:11:26,SLCE,,Light Curve end ,,,,,
12:10.3,6/17/25,11:12:10,SLCS,,Light Curve start ,8,,,,
12:10.3,6/17/25,11:12:10,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:10.3,6/17/25,11:12:10,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:11.7,6/17/25,11:12:11,FO,72,85,181,0,0.53,0,0.53
12:17.3,6/17/25,11:12:17,SLCE,,Light Curve end ,,,,,
12:37.5,6/17/25,11:12:37,SLCS,,Light Curve start ,8,,,,
12:37.5,6/17/25,11:12:37,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:37.5,6/17/25,11:12:37,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:38.9,6/17/25,11:12:38,FO,73,76,170,0,0.553,0,0.553
12:46.6,6/17/25,11:12:46,SLCE,,Light Curve end ,,,,,
59:16.0,6/17/25,11:59:15,SLCS,,Light Curve start ,1,,,,
59:16.0,6/17/25,11:59:15,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:16.0,6/17/25,11:59:15,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:17.3,6/17/25,11:59:17,FO,74,193,221,0,0.127,0,0.127
59:22.1,6/17/25,11:59:22,SLCE,,Light Curve end ,,,,,
59:35.3,6/17/25,11:59:35,SLCS,,Light Curve start ,1,,,,
59:35.3,6/17/25,11:59:35,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:35.3,6/17/25,11:59:35,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:36.7,6/17/25,11:59:36,FO,75,84,131,0,0.359,0,0.359
59:41.3,6/17/25,11:59:41,SLCE,,Light Curve end ,,,,,
59:50.4,6/17/25,11:59:50,SLCS,,Light Curve start ,1,,,,
59:50.4,6/17/25,11:59:50,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:50.4,6/17/25,11:59:50,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
59:51.8,6/17/25,11:59:51,FO,76,84,156,0,0.462,0,0.462
59:56.7,6/17/25,11:59:56,SLCE,,Light Curve end ,,,,,
01:32.9,6/17/25,12:01:32,SLCS,,Light Curve start ,2,,,,
01:32.9,6/17/25,12:01:32,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:32.9,6/17/25,12:01:32,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
01:34.3,6/17/25,12:01:34,FO,77,73,130,0,0.438,0,0.438
01:38.8,6/17/25,12:01:38,SLCE,,Light Curve end ,,,,,
02:24.4,6/17/25,12:02:24,SLCS,,Light Curve start ,2,,,,
02:24.4,6/17/25,12:02:24,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:24.4,6/17/25,12:02:24,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:25.8,6/17/25,12:02:25,FO,78,77,154,0,0.5,0,0.5
02:31.8,6/17/25,12:02:31,SLCE,,Light Curve end ,,,,,
02:47.6,6/17/25,12:02:47,SLCS,,Light Curve start ,2,,,,
02:47.6,6/17/25,12:02:47,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:47.6,6/17/25,12:02:47,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
02:48.9,6/17/25,12:02:48,FO,79,129,221,0,0.416,0,0.416
02:53.3,6/17/25,12:02:53,SLCE,,Light Curve end ,,,,,
03:46.2,6/17/25,12:03:46,SLCS,,Light Curve start ,3,,,,
03:46.2,6/17/25,12:03:46,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:46.2,6/17/25,12:03:46,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
03:47.5,6/17/25,12:03:47,FO,80,55,101,0,0.455,0,0.455
03:53.9,6/17/25,12:03:53,SLCE,,Light Curve end ,,,,,
04:04.1,6/17/25,12:04:04,SLCS,,Light Curve start ,3,,,,
