"","plant_part","bin","run","date","max_temp","min_temp","mean_temp"
"179","understory",7,2,2024-08-10,27.48,24.27,25.9752777777778
"180","understory",7,2,2024-08-11,29.05,24.47,26.1554861111111
"181","understory",7,3,2024-08-12,27.83,24.28,26.1152083333333
"182","understory",7,3,2024-08-13,30.05,25.58,27.4681944444444
"183","understory",7,3,2024-08-14,30.09,25.95,27.8569444444444
"184","understory",7,3,2024-08-15,29.27,26.41,27.6170833333333
"185","understory",7,3,2024-08-16,30.62,25.83,28.0141666666667
"186","understory",7,3,2024-08-17,30.52,26.37,28.2155555555556
"187","understory",7,3,2024-08-18,27.89,25.16,26.4974305555556
"188","understory",7,3,2024-08-19,28.64,24.77,26.3809027777778
"189","understory",7,3,2024-08-20,29.72,23.34,26.3744615384615
"190","understory",8,1,2024-07-25,33.29,26.23,29.7932222222222
"191","understory",8,1,2024-07-26,29.62,24.87,26.9847916666667
"192","understory",8,1,2024-07-27,26.55,23.78,25.3035416666667
"193","understory",8,1,2024-07-28,27.11,23.18,24.9292361111111
"194","understory",8,1,2024-07-29,25.76,23.11,24.7461111111111
"195","understory",8,1,2024-07-30,28.34,24.38,25.8533333333333
"196","understory",8,1,2024-07-31,28.78,24.28,26.03125
"197","understory",8,1,2024-08-01,28.29,23.96,25.7160416666667
"198","understory",8,1,2024-08-02,29.76,23.86,26.5622222222222
"199","understory",8,2,2024-08-03,27.2,23.64,25.422323943662
"200","understory",8,2,2024-08-04,27.69,24.29,25.809375
"201","understory",8,2,2024-08-05,28.4,23.77,25.6818055555556
"202","understory",8,2,2024-08-06,28.46,22.76,25.3154166666667
"203","understory",8,2,2024-08-07,29.27,23.86,26.2041666666667
"204","understory",8,2,2024-08-08,29.1,24.85,26.6592361111111
"205","understory",8,2,2024-08-09,28.94,24,26.2838888888889
"206","understory",8,2,2024-08-10,27.53,24.47,26.0934027777778
"207","understory",8,2,2024-08-11,27.74,24.59,25.9381944444444
"208","understory",8,3,2024-08-12,28.55,24.39,26.0097222222222
"209","understory",8,3,2024-08-13,29.88,25.53,27.2622916666667
"210","understory",8,3,2024-08-14,29.84,25.78,27.7905555555556
"211","understory",8,3,2024-08-15,29.17,26.3,27.5245833333333
"212","understory",8,3,2024-08-16,30.73,25.83,27.9530555555556
"213","understory",8,3,2024-08-17,30.93,26.46,28.2901388888889
"214","understory",8,3,2024-08-18,28.22,25.34,26.669375
"215","understory",8,3,2024-08-19,28.62,24.88,26.4463888888889
"216","understory",8,3,2024-08-20,30.22,24.77,26.6042307692308
"217","understory",9,1,2024-07-25,32.9,25.67,29.1253333333333
"218","understory",9,1,2024-07-26,30.03,24.48,26.834375
"219","understory",9,1,2024-07-27,26.83,23.75,25.1075
"220","understory",9,1,2024-07-28,27.59,23.13,25.1760416666667
"221","understory",9,1,2024-07-29,25.7,22.82,24.7327083333333
"222","understory",9,1,2024-07-30,28.1,24.2,25.7678472222222
"223","understory",9,1,2024-07-31,28.04,24.08,25.7545833333333
"224","understory",9,1,2024-08-01,27.79,23.73,25.4495138888889
"225","understory",9,1,2024-08-02,29.57,23.53,26.4922222222222
"226","understory",9,2,2024-08-03,27.45,23.95,25.5925714285714
"227","understory",9,2,2024-08-04,27.64,24.19,25.7947916666667
"228","understory",9,2,2024-08-05,28.71,23.68,25.6856944444444
"229","understory",9,2,2024-08-06,28.36,22.61,25.2888888888889
"230","understory",9,2,2024-08-07,29.42,23.71,26.2413194444444
"231","understory",9,2,2024-08-08,28.8,24.69,26.5389583333333
"232","understory",9,2,2024-08-09,28.89,23.83,26.2664583333333
"233","understory",9,2,2024-08-10,27.49,24.19,25.9370138888889
"234","understory",9,2,2024-08-11,29.29,24.43,26.1466666666667
"235","understory",9,3,2024-08-12,27.92,24.49,26.1357638888889
"236","understory",9,3,2024-08-13,29.78,25.61,27.3354166666667
"237","understory",9,3,2024-08-14,29.95,25.84,27.7603472222222
"238","understory",9,3,2024-08-15,29.25,26.34,27.5682638888889
"239","understory",9,3,2024-08-16,30.46,25.8,27.9191666666667
"240","understory",9,3,2024-08-17,30.52,26.31,28.1818055555556
"241","understory",9,3,2024-08-18,27.89,25.18,26.5076388888889
"242","understory",9,3,2024-08-19,28.56,24.75,26.3345833333333
"243","understory",9,3,2024-08-20,29.49,24.65,26.4958778625954
"244","understory",10,1,2024-07-25,33.4,25.96,29.4357777777778
"245","understory",10,1,2024-07-26,29.83,24.63,26.9243055555556
"246","understory",10,1,2024-07-27,26.55,24.24,25.3809722222222
"247","understory",10,1,2024-07-28,27.86,23.29,25.2507638888889
"248","understory",10,1,2024-07-29,25.72,22.9,24.7250694444444
"249","understory",10,1,2024-07-30,28.78,24.4,25.9167361111111
"250","understory",10,1,2024-07-31,28.79,24.11,25.9722222222222
"251","understory",10,1,2024-08-01,28.48,23.71,25.5991666666667
"252","understory",10,1,2024-08-02,29.87,23.62,26.4977083333333
"253","understory",10,2,2024-08-03,27.29,23.77,25.5097163120567
"254","understory",10,2,2024-08-04,28.14,24.54,26.05875
"255","understory",10,2,2024-08-05,29.1,24.04,26.0111805555556
"256","understory",10,2,2024-08-06,28.9,23.01,25.6222916666667
"257","understory",10,2,2024-08-07,29.75,24.13,26.4921527777778
"258","understory",10,2,2024-08-08,29.49,25,26.8899305555556
"259","understory",10,2,2024-08-09,29.1,24.3,26.488125
"260","understory",10,2,2024-08-10,27.71,24.48,26.2070138888889
"261","understory",10,2,2024-08-11,28.11,24.77,26.2211805555556
"262","understory",10,3,2024-08-12,28.69,24.45,26.3829861111111
"263","understory",10,3,2024-08-13,31.07,25.9,27.8681944444444
"264","understory",10,3,2024-08-14,30.96,26.33,28.5339583333333
"265","understory",10,3,2024-08-15,29.62,26.7,27.9294444444444
"266","understory",10,3,2024-08-16,30.96,26.03,28.1993055555556
"267","understory",10,3,2024-08-17,31.05,26.59,28.4291666666667
"268","understory",10,3,2024-08-18,28.59,25.38,26.8540972222222
"269","understory",10,3,2024-08-19,28.88,25.02,26.5854166666667
"270","understory",10,3,2024-08-20,30.33,24.96,26.723
"271","understory",11,1,2024-07-25,33.73,26.07,29.556
"272","understory",11,1,2024-07-26,29.95,24.71,26.9252083333333
"273","understory",11,1,2024-07-27,26.52,24.01,25.2075
"274","understory",11,1,2024-07-28,27.14,23.27,25.0755555555556
"275","understory",11,1,2024-07-29,25.8,23.05,24.7598611111111
"276","understory",11,1,2024-07-30,28.45,24.45,25.9147916666667
"277","understory",11,1,2024-07-31,28.73,24.26,26.0570833333333
"278","understory",11,1,2024-08-01,28.35,23.91,25.7103472222222
"279","understory",11,1,2024-08-02,29.97,23.8,26.6044444444444
"280","understory",11,2,2024-08-03,27.21,23.86,25.5577304964539
"281","understory",11,2,2024-08-04,27.85,24.45,25.9760416666667
"282","understory",11,2,2024-08-05,28.69,23.98,25.9179861111111
