#,Date-Time (HST),Temperature   (°C),Started,Host Connected,End of File,datetime,date,time
8571,03/06/2025 18:10:00,22.788,NA,NA,NA,2025-03-06T18:10:00Z,2025-03-06,18:10:00
8572,03/06/2025 18:20:00,22.756,NA,NA,NA,2025-03-06T18:20:00Z,2025-03-06,18:20:00
8573,03/06/2025 18:30:00,22.702,NA,NA,NA,2025-03-06T18:30:00Z,2025-03-06,18:30:00
8574,03/06/2025 18:40:00,22.659,NA,NA,NA,2025-03-06T18:40:00Z,2025-03-06,18:40:00
8575,03/06/2025 18:50:00,22.616,NA,NA,NA,2025-03-06T18:50:00Z,2025-03-06,18:50:00
8576,03/06/2025 19:00:00,22.574,NA,NA,NA,2025-03-06T19:00:00Z,2025-03-06,19:00:00
8577,03/06/2025 19:10:00,22.531,NA,NA,NA,2025-03-06T19:10:00Z,2025-03-06,19:10:00
8578,03/06/2025 19:20:00,22.498,NA,NA,NA,2025-03-06T19:20:00Z,2025-03-06,19:20:00
8579,03/06/2025 19:30:00,22.466,NA,NA,NA,2025-03-06T19:30:00Z,2025-03-06,19:30:00
8580,03/06/2025 19:40:00,22.445,NA,NA,NA,2025-03-06T19:40:00Z,2025-03-06,19:40:00
8581,03/06/2025 19:50:00,22.413,NA,NA,NA,2025-03-06T19:50:00Z,2025-03-06,19:50:00
8582,03/06/2025 20:00:00,22.381,NA,NA,NA,2025-03-06T20:00:00Z,2025-03-06,20:00:00
8583,03/06/2025 20:10:00,22.348,NA,NA,NA,2025-03-06T20:10:00Z,2025-03-06,20:10:00
8584,03/06/2025 20:20:00,22.305,NA,NA,NA,2025-03-06T20:20:00Z,2025-03-06,20:20:00
8585,03/06/2025 20:30:00,22.284,NA,NA,NA,2025-03-06T20:30:00Z,2025-03-06,20:30:00
8586,03/06/2025 20:40:00,22.252,NA,NA,NA,2025-03-06T20:40:00Z,2025-03-06,20:40:00
8587,03/06/2025 20:50:00,22.22,NA,NA,NA,2025-03-06T20:50:00Z,2025-03-06,20:50:00
8588,03/06/2025 21:00:00,22.187,NA,NA,NA,2025-03-06T21:00:00Z,2025-03-06,21:00:00
8589,03/06/2025 21:10:00,22.155,NA,NA,NA,2025-03-06T21:10:00Z,2025-03-06,21:10:00
8590,03/06/2025 21:20:00,22.123,NA,NA,NA,2025-03-06T21:20:00Z,2025-03-06,21:20:00
8591,03/06/2025 21:30:00,22.091,NA,NA,NA,2025-03-06T21:30:00Z,2025-03-06,21:30:00
8592,03/06/2025 21:40:00,22.069,NA,NA,NA,2025-03-06T21:40:00Z,2025-03-06,21:40:00
8593,03/06/2025 21:50:00,22.037,NA,NA,NA,2025-03-06T21:50:00Z,2025-03-06,21:50:00
8594,03/06/2025 22:00:00,22.005,NA,NA,NA,2025-03-06T22:00:00Z,2025-03-06,22:00:00
8595,03/06/2025 22:10:00,21.984,NA,NA,NA,2025-03-06T22:10:00Z,2025-03-06,22:10:00
8596,03/06/2025 22:20:00,21.952,NA,NA,NA,2025-03-06T22:20:00Z,2025-03-06,22:20:00
8597,03/06/2025 22:30:00,21.93,NA,NA,NA,2025-03-06T22:30:00Z,2025-03-06,22:30:00
8598,03/06/2025 22:40:00,21.909,NA,NA,NA,2025-03-06T22:40:00Z,2025-03-06,22:40:00
8599,03/06/2025 22:50:00,21.887,NA,NA,NA,2025-03-06T22:50:00Z,2025-03-06,22:50:00
8600,03/06/2025 23:00:00,21.866,NA,NA,NA,2025-03-06T23:00:00Z,2025-03-06,23:00:00
8601,03/06/2025 23:10:00,21.834,NA,NA,NA,2025-03-06T23:10:00Z,2025-03-06,23:10:00
8602,03/06/2025 23:20:00,21.812,NA,NA,NA,2025-03-06T23:20:00Z,2025-03-06,23:20:00
8603,03/06/2025 23:30:00,21.791,NA,NA,NA,2025-03-06T23:30:00Z,2025-03-06,23:30:00
8604,03/06/2025 23:40:00,21.748,NA,NA,NA,2025-03-06T23:40:00Z,2025-03-06,23:40:00
8605,03/06/2025 23:50:00,21.737,NA,NA,NA,2025-03-06T23:50:00Z,2025-03-06,23:50:00
8606,03/07/2025 00:00:00,21.705,NA,NA,NA,2025-03-07T00:00:00Z,2025-03-07,00:00:00
8607,03/07/2025 00:10:00,21.683,NA,NA,NA,2025-03-07T00:10:00Z,2025-03-07,00:10:00
8608,03/07/2025 00:20:00,21.651,NA,NA,NA,2025-03-07T00:20:00Z,2025-03-07,00:20:00
8609,03/07/2025 00:30:00,21.64,NA,NA,NA,2025-03-07T00:30:00Z,2025-03-07,00:30:00
8610,03/07/2025 00:40:00,21.608,NA,NA,NA,2025-03-07T00:40:00Z,2025-03-07,00:40:00
8611,03/07/2025 00:50:00,21.587,NA,NA,NA,2025-03-07T00:50:00Z,2025-03-07,00:50:00
8612,03/07/2025 01:00:00,21.555,NA,NA,NA,2025-03-07T01:00:00Z,2025-03-07,01:00:00
8613,03/07/2025 01:10:00,21.544,NA,NA,NA,2025-03-07T01:10:00Z,2025-03-07,01:10:00
8614,03/07/2025 01:20:00,21.512,NA,NA,NA,2025-03-07T01:20:00Z,2025-03-07,01:20:00
8615,03/07/2025 01:30:00,21.49,NA,NA,NA,2025-03-07T01:30:00Z,2025-03-07,01:30:00
8616,03/07/2025 01:40:00,21.458,NA,NA,NA,2025-03-07T01:40:00Z,2025-03-07,01:40:00
8617,03/07/2025 01:50:00,21.437,NA,NA,NA,2025-03-07T01:50:00Z,2025-03-07,01:50:00
8618,03/07/2025 02:00:00,21.405,NA,NA,NA,2025-03-07T02:00:00Z,2025-03-07,02:00:00
8619,03/07/2025 02:10:00,21.372,NA,NA,NA,2025-03-07T02:10:00Z,2025-03-07,02:10:00
8620,03/07/2025 02:20:00,21.351,NA,NA,NA,2025-03-07T02:20:00Z,2025-03-07,02:20:00
8621,03/07/2025 02:30:00,21.319,NA,NA,NA,2025-03-07T02:30:00Z,2025-03-07,02:30:00
8622,03/07/2025 02:40:00,21.297,NA,NA,NA,2025-03-07T02:40:00Z,2025-03-07,02:40:00
8623,03/07/2025 02:50:00,21.276,NA,NA,NA,2025-03-07T02:50:00Z,2025-03-07,02:50:00
8624,03/07/2025 03:00:00,21.254,NA,NA,NA,2025-03-07T03:00:00Z,2025-03-07,03:00:00
8625,03/07/2025 03:10:00,21.222,NA,NA,NA,2025-03-07T03:10:00Z,2025-03-07,03:10:00
8626,03/07/2025 03:20:00,21.201,NA,NA,NA,2025-03-07T03:20:00Z,2025-03-07,03:20:00
8627,03/07/2025 03:30:00,21.179,NA,NA,NA,2025-03-07T03:30:00Z,2025-03-07,03:30:00
8628,03/07/2025 03:40:00,21.147,NA,NA,NA,2025-03-07T03:40:00Z,2025-03-07,03:40:00
8629,03/07/2025 03:50:00,21.115,NA,NA,NA,2025-03-07T03:50:00Z,2025-03-07,03:50:00
8630,03/07/2025 04:00:00,21.093,NA,NA,NA,2025-03-07T04:00:00Z,2025-03-07,04:00:00
8631,03/07/2025 04:10:00,21.061,NA,NA,NA,2025-03-07T04:10:00Z,2025-03-07,04:10:00
8632,03/07/2025 04:20:00,21.04,NA,NA,NA,2025-03-07T04:20:00Z,2025-03-07,04:20:00
8633,03/07/2025 04:30:00,21.018,NA,NA,NA,2025-03-07T04:30:00Z,2025-03-07,04:30:00
8634,03/07/2025 04:40:00,20.997,NA,NA,NA,2025-03-07T04:40:00Z,2025-03-07,04:40:00
8635,03/07/2025 04:50:00,20.965,NA,NA,NA,2025-03-07T04:50:00Z,2025-03-07,04:50:00
8636,03/07/2025 05:00:00,20.933,NA,NA,NA,2025-03-07T05:00:00Z,2025-03-07,05:00:00
8637,03/07/2025 05:10:00,20.911,NA,NA,NA,2025-03-07T05:10:00Z,2025-03-07,05:10:00
8638,03/07/2025 05:20:00,20.868,NA,NA,NA,2025-03-07T05:20:00Z,2025-03-07,05:20:00
8639,03/07/2025 05:30:00,20.858,NA,NA,NA,2025-03-07T05:30:00Z,2025-03-07,05:30:00
8640,03/07/2025 05:40:00,20.825,NA,NA,NA,2025-03-07T05:40:00Z,2025-03-07,05:40:00
